Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,51650.44,15996.3,17828.86,573.32,0.0
Destination port,1,1229.57,1273.66,6991.16,7303.2,7.94,0.0
Protocol,2,6.36,7.36,4.37,4.32,302.61,0.0
Packet Length,3,402.3,338.69,927.72,638.39,-131.04,0.0
Interarrival time,4,1556.33,1788.99,12168.89,13189.93,23.2,0.0
Direction,5,0.53,0.52,0.49,0.5,-26.18,0.0
SYN Flag,6,0.08,0.05,0.26,0.22,-156.9,0.0
FIN Flag,7,0.05,0.05,0.22,0.21,-38.72,0.0
RST Flag,8,0.04,0.02,0.18,0.13,-188.18,0.0
PSH Flag,9,0.21,0.22,0.36,0.37,36.06,0.0
ACK Flag,10,0.67,0.77,0.38,0.38,367.69,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-36.53,0.0
ECE Flag,12,0.0,0.0,0.01,0.01,-0.59,0.56
CWR Flag,13,0.0,0.0,0.01,0.01,0.6,0.55
NS Flag,14,0.0,0.0,0.0,0.0,0.26,0.79
