Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,47314.34,15996.3,8940.53,153.69,0.0
Destination port,1,1229.57,8588.28,6991.16,13430.03,219.16,0.0
Protocol,2,6.36,6.01,4.37,0.3,-473.56,0.0
Packet Length,3,402.3,48.17,927.72,88.79,-1595.35,0.0
Interarrival time,4,1556.33,3.14,12168.89,492.38,-1261.72,0.0
Direction,5,0.53,0.5,0.49,0.5,-16.86,0.0
SYN Flag,6,0.08,0.5,0.26,0.5,336.79,0.0
FIN Flag,7,0.05,0.0,0.22,0.03,-775.65,0.0
RST Flag,8,0.04,0.49,0.18,0.5,367.04,0.0
PSH Flag,9,0.21,0.0,0.36,0.03,-3000.85,0.0
ACK Flag,10,0.67,0.5,0.38,0.5,-135.0,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
