Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,50229.68,15996.3,10148.51,16.31,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,288.01,927.72,569.91,-5.23,0.0
Interarrival time,4,1556.33,677.6,12168.89,1708.9,-13.4,0.0
Direction,5,0.53,0.66,0.49,0.47,7.41,0.0
SYN Flag,6,0.08,0.23,0.26,0.42,9.38,0.0
FIN Flag,7,0.05,0.22,0.22,0.42,10.63,0.0
RST Flag,8,0.04,0.0,0.18,0.01,-69.86,0.0
PSH Flag,9,0.21,0.2,0.36,0.4,-0.39,0.7
ACK Flag,10,0.67,0.88,0.38,0.32,17.52,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
