Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,52289.37,15996.3,99.28,1350.09,0.0
Destination port,1,1229.57,21.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,63.02,927.72,12.56,-430.34,0.0
Interarrival time,4,1556.33,979.41,12168.89,14017.67,-0.66,0.51
Direction,5,0.53,0.4,0.49,0.49,-3.94,0.0
SYN Flag,6,0.08,0.07,0.26,0.26,-0.27,0.79
FIN Flag,7,0.05,0.07,0.22,0.26,1.1,0.27
RST Flag,8,0.04,0.05,0.18,0.22,1.16,0.25
PSH Flag,9,0.21,0.51,0.36,0.5,9.4,0.0
ACK Flag,10,0.67,0.91,0.38,0.28,13.58,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
