Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,42052.38,15996.3,7979.74,-19.78,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,749.32,927.72,1830.87,16.38,0.0
Interarrival time,4,1556.33,2398.77,12168.89,11628.57,6.26,0.0
Direction,5,0.53,0.63,0.49,0.48,18.63,0.0
SYN Flag,6,0.08,0.16,0.26,0.36,18.12,0.0
FIN Flag,7,0.05,0.07,0.22,0.25,5.23,0.0
RST Flag,8,0.04,0.03,0.18,0.17,-3.43,0.0
PSH Flag,9,0.21,0.17,0.36,0.38,-8.85,0.0
ACK Flag,10,0.67,0.91,0.38,0.28,74.95,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
