Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,47007.0,15996.3,8141.51,185.87,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,931.94,927.72,1781.02,143.87,0.0
Interarrival time,4,1556.33,62.12,12168.89,1018.9,-709.48,0.0
Direction,5,0.53,0.56,0.49,0.49,32.3,0.0
SYN Flag,6,0.08,0.16,0.26,0.37,103.94,0.0
FIN Flag,7,0.05,0.1,0.22,0.3,75.96,0.0
RST Flag,8,0.04,0.11,0.18,0.32,113.53,0.0
PSH Flag,9,0.21,0.16,0.36,0.37,-61.5,0.0
ACK Flag,10,0.67,0.85,0.38,0.35,254.64,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
