Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,44995.05,15996.3,1.0,1580.05,0.0
Destination port,1,1229.57,444.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,140.38,927.72,293.53,-1.26,0.21
Interarrival time,4,1556.33,477.43,12168.89,1026.12,-1.49,0.14
Direction,5,0.53,0.48,0.49,0.5,-0.14,0.89
SYN Flag,6,0.08,0.19,0.26,0.39,0.4,0.69
FIN Flag,7,0.05,0.14,0.22,0.35,0.36,0.72
RST Flag,8,0.04,0.1,0.18,0.29,0.29,0.77
PSH Flag,9,0.21,0.24,0.36,0.43,0.09,0.93
ACK Flag,10,0.67,0.86,0.38,0.35,0.76,0.45
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
