Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,39921.25,15996.3,22903.74,-47.76,0.0
Destination port,1,1229.57,6165.46,6991.16,11978.24,113.9,0.0
Protocol,2,6.36,6.59,4.37,2.51,24.98,0.0
Packet Length,3,402.3,119.8,927.72,335.58,-232.68,0.0
Interarrival time,4,1556.33,343.6,12168.89,4057.52,-82.61,0.0
Direction,5,0.53,0.67,0.49,0.47,87.13,0.0
SYN Flag,6,0.08,0.56,0.26,0.5,264.73,0.0
FIN Flag,7,0.05,0.02,0.22,0.15,-58.6,0.0
RST Flag,8,0.04,0.17,0.18,0.37,98.09,0.0
PSH Flag,9,0.21,0.08,0.36,0.26,-140.35,0.0
ACK Flag,10,0.67,0.41,0.38,0.49,-145.13,0.0
URG Flag,11,0.0,0.0,0.01,0.05,13.81,0.0
ECE Flag,12,0.0,0.0,0.01,0.04,9.79,0.0
CWR Flag,13,0.0,0.0,0.01,0.02,4.89,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
