Category,#,max_depth,depth,fitting_time s,val. accuracy %,train. accuracy %,packets_benign,packets_attack,packets_total,benign_rate %,attack_rate %,above_guessing
Botnet ARES,0,5,5,159.44,99.9865,99.9865,2080783,1134,2081917,99.9455,0.0545,True
FTP-Patator,1,5,5,163.58,99.99,99.9901,2078383,494,2078877,99.9762,0.0238,True
SSH-Patator,2,5,5,168.86,99.7815,99.7939,2082736,14080,2096816,99.3285,0.6715,True
DDoS LOIT,3,5,5,184.09,96.5979,96.6016,2080768,126548,2207316,94.2669,5.7331,True
DoS GoldenEye,4,5,5,182.22,99.5204,99.5242,2079940,10685,2090625,99.4889,0.5111,True
DoS Hulk,5,5,5,192.89,95.1116,95.1345,2067847,212086,2279933,90.6977,9.3023,True
DoS Slowhttptest,6,5,5,191.16,99.9043,99.9052,2080845,3909,2084754,99.8125,0.1875,True
DoS slowloris,7,5,5,184.2,99.8859,99.878,2082104,4571,2086675,99.7809,0.2191,True
Heartbleed,8,5,4,161.06,100.0,100.0,2079006,0,2079006,100.0,0.0,False
Infiltration,9,5,5,194.73,99.5406,99.5552,2077388,24818,2102206,98.8194,1.1806,True
PortScan - Firewall off,11,5,5,204.75,99.8179,99.8208,2076858,32120,2108978,98.477,1.523,True
PortScan - Firewall on,12,5,5,196.99,99.9951,99.9942,2076858,137,2076995,99.9934,0.0066,True
SQL Injection,13,5,5,167.58,99.9995,99.9994,2076858,10,2076868,99.9995,0.0005,False
XSS,14,5,5,166.18,99.9713,99.9717,2076858,597,2077455,99.9713,0.0287,False
