Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,34710.39,15996.3,23715.63,-10.64,0.0
Destination port,1,1229.57,8080.0,6991.16,0.0,inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,583.28,927.72,1982.09,2.51,0.01
Interarrival time,4,1556.33,7.34,12168.89,29.68,-1435.75,0.0
Direction,5,0.53,0.49,0.49,0.5,-1.88,0.06
SYN Flag,6,0.08,0.15,0.26,0.36,5.65,0.0
FIN Flag,7,0.05,0.15,0.22,0.36,7.3,0.0
RST Flag,8,0.04,0.0,0.18,0.05,-19.56,0.0
PSH Flag,9,0.21,0.16,0.36,0.36,-4.02,0.0
ACK Flag,10,0.67,0.92,0.38,0.27,26.0,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
