Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,45488.35,15996.3,9764.1,3.23,0.0
Destination port,1,1229.57,122.92,6991.16,154.12,-140.52,0.0
Protocol,2,6.36,6.3,4.37,1.79,-0.67,0.51
Packet Length,3,402.3,294.15,927.72,944.81,-2.24,0.03
Interarrival time,4,1556.33,46.31,12168.89,508.23,-58.15,0.0
Direction,5,0.53,0.63,0.49,0.48,4.12,0.0
SYN Flag,6,0.08,0.39,0.26,0.49,12.47,0.0
FIN Flag,7,0.05,0.05,0.22,0.21,-0.77,0.44
RST Flag,8,0.04,0.22,0.18,0.42,8.89,0.0
PSH Flag,9,0.21,0.06,0.36,0.23,-12.88,0.0
ACK Flag,10,0.67,0.67,0.38,0.47,-0.02,0.98
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
