Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,36211.64,15996.3,15.32,-1804.32,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,320.57,927.72,674.23,-0.44,0.66
Interarrival time,4,1556.33,478.45,12168.89,1467.76,-2.65,0.01
Direction,5,0.53,0.53,0.49,0.5,0.05,0.96
SYN Flag,6,0.08,0.19,0.26,0.39,1.02,0.31
FIN Flag,7,0.05,0.19,0.22,0.39,1.25,0.21
RST Flag,8,0.04,0.0,0.18,0.0,-inf,0.0
PSH Flag,9,0.21,0.19,0.36,0.39,-0.18,0.85
ACK Flag,10,0.67,0.9,0.38,0.29,2.89,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
