Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,48851.25,15996.3,1488.07,169.16,0.0
Destination port,1,1229.57,22.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,138.7,927.72,186.53,-71.54,0.0
Interarrival time,4,1556.33,222.5,12168.89,618.2,-109.23,0.0
Direction,5,0.53,0.4,0.49,0.49,-12.74,0.0
SYN Flag,6,0.08,0.04,0.26,0.19,-11.6,0.0
FIN Flag,7,0.05,0.04,0.22,0.19,-4.85,0.0
RST Flag,8,0.04,0.0,0.18,0.01,-251.7,0.0
PSH Flag,9,0.21,0.56,0.36,0.5,35.86,0.0
ACK Flag,10,0.67,0.98,0.38,0.13,118.31,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
