Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,48805.19,15996.3,14473.6,104.65,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,917.87,927.72,2144.87,73.91,0.0
Interarrival time,4,1556.33,506.96,12168.89,1965.77,-164.13,0.0
Direction,5,0.53,0.6,0.49,0.49,44.75,0.0
SYN Flag,6,0.08,0.15,0.26,0.36,60.77,0.0
FIN Flag,7,0.05,0.1,0.22,0.29,42.81,0.0
RST Flag,8,0.04,0.07,0.18,0.26,46.35,0.0
PSH Flag,9,0.21,0.15,0.36,0.36,-49.29,0.0
ACK Flag,10,0.67,0.93,0.38,0.26,298.93,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
