Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,39440.36,15996.3,5787.72,-49.8,0.0
Destination port,1,1229.57,80.05,6991.16,6.06,-12311.27,0.0
Protocol,2,6.36,6.0,4.37,0.04,-533.67,0.0
Packet Length,3,402.3,154.75,927.72,299.04,-53.76,0.0
Interarrival time,4,1556.33,9993.85,12168.89,22268.35,24.61,0.0
Direction,5,0.53,0.84,0.49,0.37,54.27,0.0
SYN Flag,6,0.08,0.62,0.26,0.49,72.46,0.0
FIN Flag,7,0.05,0.07,0.22,0.25,3.27,0.0
RST Flag,8,0.04,0.03,0.18,0.16,-4.14,0.0
PSH Flag,9,0.21,0.19,0.36,0.39,-3.28,0.0
ACK Flag,10,0.67,0.4,0.38,0.49,-35.59,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
