Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,43879.05,55260.01,15996.3,6466.26,109.83,0.0
Destination port,1,1229.57,80.0,6991.16,0.0,-inf,0.0
Protocol,2,6.36,6.0,4.37,0.0,-inf,0.0
Packet Length,3,402.3,158.0,927.72,125.82,-121.17,0.0
Interarrival time,4,1556.33,11331.25,12168.89,28536.64,21.38,0.0
Direction,5,0.53,0.78,0.49,0.41,38.91,0.0
SYN Flag,6,0.08,0.27,0.26,0.44,26.42,0.0
FIN Flag,7,0.05,0.02,0.22,0.15,-12.07,0.0
RST Flag,8,0.04,0.05,0.18,0.21,3.37,0.0
PSH Flag,9,0.21,0.51,0.36,0.5,36.88,0.0
ACK Flag,10,0.67,0.77,0.38,0.42,15.18,0.0
URG Flag,11,0.0,0.0,0.01,0.0,-inf,0.0
ECE Flag,12,0.0,0.0,0.01,0.0,-inf,0.0
CWR Flag,13,0.0,0.0,0.01,0.0,-inf,0.0
NS Flag,14,0.0,0.0,0.0,0.0,-inf,0.0
