Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,40229.23,22893.53,21788.78,23.96,0.0
Destination port,1,16561.67,1932.48,18209.79,10166.81,-33.25,0.0
Protocol,2,2.42,6.0,2.9,0.0,inf,0.0
Packet Length,3,278.05,106.7,500.64,134.91,-29.35,0.0
Interarrival time,4,12.39,261.36,530.21,4399.33,1.31,0.19
Direction,5,0.27,0.56,0.52,0.5,13.49,0.0
SYN Flag,6,0.05,0.21,0.21,0.41,9.19,0.0
FIN Flag,7,0.04,0.21,0.2,0.41,9.44,0.0
RST Flag,8,0.0,0.0,0.0,0.0,-inf,0.0
PSH Flag,9,0.27,0.1,0.52,0.3,-12.62,0.0
ACK Flag,10,0.27,0.9,0.52,0.31,47.24,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
