Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,31181.33,22893.53,19485.41,13.85,0.0
Destination port,1,16561.67,13579.57,18209.79,17410.67,-3.41,0.0
Protocol,2,2.42,6.27,2.9,1.71,44.95,0.0
Packet Length,3,278.05,136.73,500.64,282.42,-9.97,0.0
Interarrival time,4,12.39,97.08,530.21,405.68,4.16,0.0
Direction,5,0.27,0.54,0.52,0.5,10.93,0.0
SYN Flag,6,0.05,0.19,0.21,0.39,7.3,0.0
FIN Flag,7,0.04,0.19,0.2,0.39,7.55,0.0
RST Flag,8,0.0,0.0,0.0,0.0,-inf,0.0
PSH Flag,9,0.27,0.01,0.52,0.11,-48.31,0.0
ACK Flag,10,0.27,0.88,0.52,0.33,37.34,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
