Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,33118.61,22893.53,18608.26,52.43,0.0
Destination port,1,16561.67,1984.54,18209.79,8322.35,-110.39,0.0
Protocol,2,2.42,6.34,2.9,1.91,129.39,0.0
Packet Length,3,278.05,583.78,500.64,667.67,28.86,0.0
Interarrival time,4,12.39,56.63,530.21,181.94,15.33,0.0
Direction,5,0.27,0.56,0.52,0.5,36.93,0.0
SYN Flag,6,0.05,0.09,0.21,0.29,10.13,0.0
FIN Flag,7,0.04,0.09,0.2,0.28,10.2,0.0
RST Flag,8,0.0,0.0,0.0,0.0,0.11,0.91
PSH Flag,9,0.27,0.05,0.52,0.22,-60.95,0.0
ACK Flag,10,0.27,0.92,0.52,0.27,152.89,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
