Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,33354.77,22893.53,23346.3,97.21,0.0
Destination port,1,16561.67,694.96,18209.79,4229.92,-541.69,0.0
Protocol,2,2.42,6.51,2.9,2.31,255.73,0.0
Packet Length,3,278.05,363.37,500.64,570.28,21.6,0.0
Interarrival time,4,12.39,191.24,530.21,3544.42,7.29,0.0
Direction,5,0.27,0.67,0.52,0.47,123.06,0.0
SYN Flag,6,0.05,0.15,0.21,0.35,40.56,0.0
FIN Flag,7,0.04,0.15,0.2,0.35,42.33,0.0
RST Flag,8,0.0,0.0,0.0,0.0,-inf,0.0
PSH Flag,9,0.27,0.0,0.52,0.02,-2483.25,0.0
ACK Flag,10,0.27,0.88,0.52,0.32,271.92,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
