Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,17933.53,22893.53,22699.96,18.3,0.0
Destination port,1,16561.67,16813.95,18209.79,18260.76,19.5,0.0
Protocol,2,2.42,2.46,2.9,2.91,16.57,0.0
Packet Length,3,278.05,275.9,500.64,499.27,-6.1,0.0
Interarrival time,4,12.39,11.07,530.21,492.65,-3.77,0.0
Direction,5,0.27,0.27,0.52,0.52,12.12,0.0
SYN Flag,6,0.05,0.05,0.21,0.21,-6.53,0.0
FIN Flag,7,0.04,0.04,0.2,0.19,-7.11,0.0
RST Flag,8,0.0,0.0,0.0,0.0,-0.0,1.0
PSH Flag,9,0.27,0.27,0.52,0.52,12.12,0.0
ACK Flag,10,0.27,0.27,0.52,0.52,12.12,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
