Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,30204.85,22893.53,19434.81,8.82,0.0
Destination port,1,16561.67,258.18,18209.79,2683.79,-82.85,0.0
Protocol,2,2.42,6.06,2.9,0.82,60.68,0.0
Packet Length,3,278.05,861.42,500.64,699.79,11.37,0.0
Interarrival time,4,12.39,41.28,530.21,196.69,2.0,0.05
Direction,5,0.27,0.29,0.52,0.45,0.52,0.6
SYN Flag,6,0.05,0.08,0.21,0.27,1.56,0.12
FIN Flag,7,0.04,0.06,0.2,0.24,1.19,0.24
RST Flag,8,0.0,0.0,0.0,0.0,-inf,0.0
PSH Flag,9,0.27,0.0,0.52,0.03,-112.44,0.0
ACK Flag,10,0.27,0.96,0.52,0.21,45.27,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
