Category,#,dth,fit.t.[s],val.acc.,tr.acc.,benign[%],attack[%],> guess
Botnet ARES,0,5,163.93,99.9865,99.9865,99.9455,0.0545,True
FTP-Patator,1,5,165.84,99.99,99.9901,99.9762,0.0238,True
SSH-Patator,2,5,166.52,99.7815,99.7939,99.3285,0.6715,True
DDoS LOIT,3,5,195.49,96.5979,96.6016,94.2669,5.7331,True
DoS GoldenEye,4,5,186.24,99.5204,99.5242,99.4889,0.5111,True
DoS Hulk,5,5,194.09,95.1116,95.1345,90.6977,9.3023,True
DoS Slowhttptest,6,5,195.18,99.9043,99.9052,99.8125,0.1875,True
DoS slowloris,7,5,194.42,99.8859,99.878,99.7809,0.2191,True
Heartbleed,8,4,173.94,100.0,100.0,100.0,0.0,False
Infiltration,9,5,207.76,99.5406,99.5552,98.8194,1.1806,True
PortScan - Firewall off,11,5,215.46,99.8179,99.8208,98.477,1.523,True
PortScan - Firewall on,12,5,198.65,99.9951,99.9942,99.9934,0.0066,True
SQL Injection,13,5,176.05,99.9995,99.9994,99.9995,0.0005,False
XSS,14,5,171.6,99.9713,99.9717,99.9713,0.0287,False
