Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,33541.0,22893.53,18772.42,92.7,0.0
Destination port,1,16561.67,278.12,18209.79,2730.62,-652.62,0.0
Protocol,2,2.42,6.82,2.9,2.88,166.77,0.0
Packet Length,3,278.05,58.75,500.64,63.12,-380.25,0.0
Interarrival time,4,12.39,102.83,530.21,225.81,43.83,0.0
Direction,5,0.27,0.61,0.52,0.49,75.47,0.0
SYN Flag,6,0.05,0.21,0.21,0.41,43.72,0.0
FIN Flag,7,0.04,0.21,0.2,0.41,45.05,0.0
RST Flag,8,0.0,0.0,0.0,0.0,0.2,0.85
PSH Flag,9,0.27,0.0,0.52,0.01,-2002.77,0.0
ACK Flag,10,0.27,0.82,0.52,0.38,157.23,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
