Feature,#,mean ds,mean cat,std ds,std cat,z,p
Source port,0,17639.22,32941.17,22893.53,18454.62,32.63,0.0
Destination port,1,16561.67,32146.69,18209.79,18258.29,33.59,0.0
Protocol,2,2.42,7.2,2.9,3.43,54.85,0.0
Packet Length,3,278.05,72.01,500.64,79.08,-102.54,0.0
Interarrival time,4,12.39,78.41,530.21,258.48,10.05,0.0
Direction,5,0.27,0.65,0.52,0.48,31.43,0.0
SYN Flag,6,0.05,0.21,0.21,0.41,16.0,0.0
FIN Flag,7,0.04,0.21,0.2,0.41,16.43,0.0
RST Flag,8,0.0,0.0,0.0,0.0,-inf,0.0
PSH Flag,9,0.27,0.0,0.52,0.0,-inf,0.0
ACK Flag,10,0.27,0.78,0.52,0.41,49.22,0.0
URG Flag,11,0.0,0.0,0.0,0.0,nan,nan
ECE Flag,12,0.0,0.0,0.0,0.0,nan,nan
CWR Flag,13,0.0,0.0,0.0,0.0,nan,nan
NS Flag,14,0.0,0.0,0.0,0.0,nan,nan
