Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 191
Time to best epoch, 1h 3m

Performance metrics,
Accuracy, 98.348 %
False alarm rate, 25.581 %
Missed alarm rate, 18.726 %
Detection rate, 81.274 %
Precision, 74.419 %
Specificity, 98.974 %
Recall, 74.419 %
F1-Measure, 74.419 %
