Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 13
Time to best epoch, 0h 29m

Performance metrics,
Accuracy, 98.699 %
False alarm rate, 17.742 %
Missed alarm rate, 19.458 %
Detection rate, 80.542 %
Precision, 82.258 %
Specificity, 99.364 %
Recall, 82.258 %
F1-Measure, 82.258 %
