Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 600
Batch size, 128
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 77
Time to best epoch, 0h 6m

Performance metrics,
Accuracy, 97.754 %
False alarm rate, 30.685 %
Missed alarm rate, 34.405 %
Detection rate, 65.595 %
Precision, 69.315 %
Specificity, 98.934 %
Recall, 65.595 %
F1-Measure, 67.404 %
