Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 29
Time to best epoch, 0h 2m

Performance metrics,
Accuracy, 97.764 %
False alarm rate, 29.610 %
Missed alarm rate, 36.499 %
Detection rate, 63.501 %
Precision, 70.390 %
Specificity, 99.021 %
Recall, 70.390 %
F1-Measure, 70.390 %
