Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, COMPOSITE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 47
Time to best epoch, 0h 8m

Performance metrics,
Accuracy, 97.586 %
False alarm rate, 32.302 %
Missed alarm rate, 39.096 %
Detection rate, 60.904 %
Precision, 67.698 %
Specificity, 98.933 %
Recall, 60.904 %
F1-Measure, 64.122 %
