Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, ID
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 161
Time to best epoch, 0h 14m

Performance metrics,
Accuracy, 97.665 %
False alarm rate, 33.521 %
Missed alarm rate, 31.565 %
Detection rate, 68.435 %
Precision, 66.479 %
Specificity, 98.736 %
Recall, 66.479 %
F1-Measure, 66.479 %
