Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 173
Time to best epoch, 1h 14m

Performance metrics,
Accuracy, 99.378 %
False alarm rate, 0.661 %
Missed alarm rate, 1.808 %
Detection rate, 98.192 %
Precision, 99.339 %
Specificity, 99.779 %
Recall, 98.192 %
F1-Measure, 98.762 %
