Class, #, Occurance, Right, ID
Botnet ARES, 0, 76, 73, 96.053%
FTP-Patator, 1, 25, 10, 40.000%
SSH-Patator, 2, 254, 254, 100.000%
DDoS LOIT, 3, 9359, 9359, 100.000%
DoS GoldenEye, 4, 742, 733, 98.787%
DoS Hulk, 5, 23199, 23184, 99.935%
DoS Slowhttptest, 6, 420, 419, 99.762%
DoS slowloris, 7, 387, 378, 97.674%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7571, 6961, 91.943%
Benign, 10, 171377, 170985, 99.771%
PortScan - Firewall off, 11, 15859, 15747, 99.294%
PortScan - Firewall on, 12, 37, 28, 75.676%
SQL Injection, 13, 2, 0, 0.000%
XSS, 14, 68, 51, 75.000%

Benign, 10, 171377, 170985, 99.771%
Attack, !10, 57999, 57197, 98.617%
Overall, ALL, 229376, 228182, 99.479%
