Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, PREDICT
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 185
Time to best epoch, 1h 19m

Performance metrics,
Accuracy, 99.563 %
False alarm rate, 0.514 %
Missed alarm rate, 1.219 %
Detection rate, 98.781 %
Precision, 99.486 %
Specificity, 99.827 %
Recall, 98.781 %
F1-Measure, 99.132 %
