Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 74, 69, 93.243%
FTP-Patator, 1, 26, 1, 3.846%
SSH-Patator, 2, 253, 251, 99.209%
DDoS LOIT, 3, 9357, 9357, 100.000%
DoS GoldenEye, 4, 745, 745, 100.000%
DoS Hulk, 5, 23204, 23203, 99.996%
DoS Slowhttptest, 6, 419, 416, 99.284%
DoS slowloris, 7, 386, 385, 99.741%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7569, 7055, 93.209%
Benign, 10, 171370, 171176, 99.887%
PortScan - Firewall off, 11, 15867, 15800, 99.578%
PortScan - Firewall on, 12, 38, 28, 73.684%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 67, 40, 59.701%

Benign, 10, 171370, 171176, 99.887%
Attack, !10, 58006, 57351, 98.871%
Overall, ALL, 229376, 228527, 99.630%
