Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737%
Brute Force:FTP-Patator, 1, 26, 23, 88.462%
Brute Force:SSH-Patator, 2, 255, 254, 99.608%
DDoS:LOIT, 3, 9368, 9367, 99.989%
DoS / DDoS:DoS GoldenEye, 4, 742, 741, 99.865%
DoS / DDoS:DoS Hulk, 5, 23172, 23171, 99.996%
DoS / DDoS:DoS Slowhttptest, 6, 418, 415, 99.282%
DoS / DDoS:DoS slowloris, 7, 385, 384, 99.740%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7571, 7111, 93.924%
Normal, 10, 171411, 171279, 99.923%
PortScan:PortScan - Firewall off, 11, 15847, 15838, 99.943%
PortScan:PortScan - Firewall on, 12, 37, 32, 86.486%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 67, 61, 91.045%

Benign, 10, 171411, 171279, 99.923%
Attack, !10, 57965, 57470, 99.146%
Overall, ALL, 229376, 228749, 99.727%
