Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, ID
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 48
Time to best epoch, 1h 43m

Performance metrics,
Accuracy, 99.727 %
False alarm rate, 0.229 %
Missed alarm rate, 0.854 %
Detection rate, 99.146 %
Precision, 99.771 %
Specificity, 99.923 %
Recall, 99.146 %
F1-Measure, 99.457 %
