Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 49
Time to best epoch, 1h 40m

Performance metrics,
Accuracy, 99.620 %
False alarm rate, 0.384 %
Missed alarm rate, 1.123 %
Detection rate, 98.877 %
Precision, 99.616 %
Specificity, 99.871 %
Recall, 98.877 %
F1-Measure, 99.245 %
