Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, PREDICT
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 47
Time to best epoch, 1h 35m

Performance metrics,
Accuracy, 99.705 %
False alarm rate, 0.278 %
Missed alarm rate, 0.892 %
Detection rate, 99.108 %
Precision, 99.722 %
Specificity, 99.907 %
Recall, 99.108 %
F1-Measure, 99.414 %
