Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 76, 71, 93.421%
FTP-Patator, 1, 26, 17, 65.385%
SSH-Patator, 2, 250, 247, 98.800%
DDoS LOIT, 3, 9361, 9353, 99.915%
DoS GoldenEye, 4, 739, 719, 97.294%
DoS Hulk, 5, 23205, 15422, 66.460%
DoS Slowhttptest, 6, 418, 412, 98.565%
DoS slowloris, 7, 382, 367, 96.073%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7563, 6797, 89.872%
Benign, 10, 171404, 168660, 98.399%
PortScan - Firewall off, 11, 15846, 15631, 98.643%
PortScan - Firewall on, 12, 37, 28, 75.676%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 68, 41, 60.294%

Benign, 10, 171404, 168660, 98.399%
Attack, !10, 57972, 49106, 84.706%
Overall, ALL, 229376, 217766, 94.938%
