Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 35
Time to best epoch, 0h 2m

Performance metrics,
Accuracy, 94.938 %
False alarm rate, 5.292 %
Missed alarm rate, 15.294 %
Detection rate, 84.706 %
Precision, 94.708 %
Specificity, 98.399 %
Recall, 84.706 %
F1-Measure, 89.428 %
