Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 75, 74, 98.667%
Brute Force:FTP-Patator, 1, 26, 26, 100.000%
Brute Force:SSH-Patator, 2, 254, 250, 98.425%
DDoS:LOIT, 3, 9365, 9352, 99.861%
DoS / DDoS:DoS GoldenEye, 4, 742, 728, 98.113%
DoS / DDoS:DoS Hulk, 5, 23177, 16374, 70.648%
DoS / DDoS:DoS Slowhttptest, 6, 419, 413, 98.568%
DoS / DDoS:DoS slowloris, 7, 386, 385, 99.741%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7573, 5880, 77.644%
Normal, 10, 171408, 168285, 98.178%
PortScan:PortScan - Firewall off, 11, 15845, 14285, 90.155%
PortScan:PortScan - Firewall on, 12, 37, 26, 70.270%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 68, 61, 89.706%

Benign, 10, 171408, 168285, 98.178%
Attack, !10, 57968, 47854, 82.552%
Overall, ALL, 229376, 216139, 94.229%
