Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 74, 71, 95.946%
Brute Force:FTP-Patator, 1, 26, 26, 100.000%
Brute Force:SSH-Patator, 2, 252, 252, 100.000%
DDoS:LOIT, 3, 9364, 9363, 99.989%
DoS / DDoS:DoS GoldenEye, 4, 742, 719, 96.900%
DoS / DDoS:DoS Hulk, 5, 23185, 22822, 98.434%
DoS / DDoS:DoS Slowhttptest, 6, 419, 419, 100.000%
DoS / DDoS:DoS slowloris, 7, 384, 373, 97.135%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7571, 6111, 80.716%
Normal, 10, 171405, 166521, 97.151%
PortScan:PortScan - Firewall off, 11, 15847, 14073, 88.805%
PortScan:PortScan - Firewall on, 12, 38, 27, 71.053%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 68, 56, 82.353%

Benign, 10, 171405, 166521, 97.151%
Attack, !10, 57971, 54313, 93.690%
Overall, ALL, 229376, 220834, 96.276%
