Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 407
Time to best epoch, 0h 30m

Performance metrics,
Accuracy, 93.355 %
False alarm rate, 6.764 %
Missed alarm rate, 20.530 %
Detection rate, 79.470 %
Precision, 93.236 %
Specificity, 98.050 %
Recall, 79.470 %
F1-Measure, 85.804 %
