Class, #, Occurance, Right, PREDICT
Botnet ARES, 0, 75, 75, 100.000%
FTP-Patator, 1, 26, 26, 100.000%
SSH-Patator, 2, 256, 254, 99.219%
DDoS LOIT, 3, 9364, 9100, 97.181%
DoS GoldenEye, 4, 744, 738, 99.194%
DoS Hulk, 5, 23160, 17213, 74.322%
DoS Slowhttptest, 6, 420, 420, 100.000%
DoS slowloris, 7, 386, 386, 100.000%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7569, 5862, 77.447%
Benign, 10, 171413, 167965, 97.988%
PortScan - Firewall off, 11, 15857, 13660, 86.145%
PortScan - Firewall on, 12, 38, 27, 71.053%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 67, 54, 80.597%

Benign, 10, 171413, 167965, 97.988%
Attack, !10, 57963, 47816, 82.494%
Overall, ALL, 229376, 215781, 94.073%
