,,,NONE,,PREDICT,,OBSCURE,,AUTO,,ID,,COMPOSITE,
Class, Alias, Occurance, Right, Accuracy, Accuracy, Right, Accuracy, Right, Accuracy, Right, Accuracy, Right, Accuracy, Right
Botnet:ARES, 0, 75, 71, 94.667, 93.333, 70, 94.737, 72, 93.243, 69, 94.737, 72, 93.333, 70
Brute Force:FTP-Patator, 1, 25, 18, 72.000, 96.154, 25, 53.846, 14, 3.846, 1, 88.462, 23, 92.308, 24
Brute Force:SSH-Patator, 2, 253, 248, 98.024, 99.206, 250, 99.206, 250, 99.209, 251, 99.608, 254, 99.209, 251
DDoS:LOIT, 3, 9370, 9368, 99.979, 99.989, 9366, 100.000, 9347, 100.000, 9357, 99.989, 9367, 99.989, 9380
DoS / DDoS:DoS GoldenEye, 4, 745, 745, 100.000, 100.000, 741, 100.000, 745, 100.000, 745, 99.865, 741, 100.000, 742
DoS / DDoS:DoS Hulk, 5, 23163, 23162, 99.996, 99.996, 23179, 99.996, 23185, 99.996, 23203, 99.996, 23171, 99.996, 23213
DoS / DDoS:DoS Slowhttptest, 6, 422, 421, 99.763, 99.761, 418, 99.282, 415, 99.284, 416, 99.282, 415, 99.284, 416
DoS / DDoS:DoS slowloris, 7, 384, 384, 100.000, 99.740, 384, 99.740, 384, 99.741, 385, 99.740, 384, 99.742, 387
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000, 100.000, 0, 100.000, 0, 100.000, 0, 100.000, 0, 100.000, 0
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7563, 7027, 92.913, 93.865, 7114, 93.549, 7091, 93.209, 7055, 93.924, 7111, 94.181, 7122
Normal, 10, 171430, 171264, 99.903, 99.907, 171241, 99.871, 171192, 99.887, 171176, 99.923, 171279, 99.923, 171243
PortScan:PortScan - Firewall off, 11, 15841, 15730, 99.299, 99.874, 15825, 99.179, 15712, 99.578, 15800, 99.943, 15838, 99.905, 15820
PortScan:PortScan - Firewall on, 12, 37, 31, 83.784, 70.270, 26, 86.486, 32, 73.684, 28, 86.486, 32, 86.486, 32
Web Attack:Sql Injection, 13, 1, 1, 100.000, 100.000, 1, 100.000, 1, 100.000, 1, 100.000, 1, 100.000, 1
Web Attack:XSS, 14, 67, 61, 91.045, 86.765, 59, 94.118, 64, 59.701, 40, 91.045, 61, 91.176, 62
Benign, 10, 171430, 171264, 99.903%, 99.907%, 171241, 99.871%, 171192, 99.887%, 171176, 99.923%, 171279, 99.923%, 171243
Attack, !10, 57946, 57267, 98.828%, 99.108%, 57458, 98.877%, 57312, 98.871%, 57351, 99.146%, 57470, 99.171%, 57520
Overall, ALL, 229376, 228531, 99.632%, 99.705%, 228699, 99.620%, 228504, 99.630%, 228527, 99.727%, 228749, 99.733%, 228763
