Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737
Brute Force:FTP-Patator, 1, 26, 7, 26.923
Brute Force:SSH-Patator, 2, 255, 253, 99.216
DDoS:LOIT, 3, 9449, 9448, 99.989
DoS / DDoS:DoS GoldenEye, 4, 747, 747, 100.000
DoS / DDoS:DoS Hulk, 5, 23395, 23394, 99.996
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 389, 388, 99.743
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7636, 7120, 93.243
Normal, 10, 172932, 172619, 99.819
PortScan:PortScan - Firewall off, 11, 15990, 15923, 99.581
PortScan:PortScan - Firewall on, 12, 38, 34, 89.474
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 40, 58.824
Benign, 10, 172932, 172619, 99.819%
Attack, !10, 58492, 57847, 98.897%
Overall, ALL, 231424, 230466, 99.586%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
