Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737
Brute Force:FTP-Patator, 1, 26, 2, 7.692
Brute Force:SSH-Patator, 2, 256, 254, 99.219
DDoS:LOIT, 3, 9449, 9449, 100.000
DoS / DDoS:DoS GoldenEye, 4, 747, 747, 100.000
DoS / DDoS:DoS Hulk, 5, 23400, 23399, 99.996
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 389, 388, 99.743
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7636, 6921, 90.636
Normal, 10, 172920, 172527, 99.773
PortScan:PortScan - Firewall off, 11, 15996, 15813, 98.856
PortScan:PortScan - Firewall on, 12, 38, 34, 89.474
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 37, 54.412
Benign, 10, 172920, 172527, 99.773%
Attack, !10, 58504, 57537, 98.347%
Overall, ALL, 231424, 230064, 99.412%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
