Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737
Brute Force:FTP-Patator, 1, 26, 2, 7.692
Brute Force:SSH-Patator, 2, 255, 253, 99.216
DDoS:LOIT, 3, 9449, 9448, 99.989
DoS / DDoS:DoS GoldenEye, 4, 747, 747, 100.000
DoS / DDoS:DoS Hulk, 5, 23395, 23394, 99.996
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 389, 388, 99.743
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7636, 6986, 91.488
Normal, 10, 172932, 172452, 99.722
PortScan:PortScan - Firewall off, 11, 15990, 15832, 99.012
PortScan:PortScan - Firewall on, 12, 38, 35, 92.105
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 45, 66.176
Benign, 10, 172932, 172452, 99.722%
Attack, !10, 58492, 57623, 98.514%
Overall, ALL, 231424, 230075, 99.417%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
