Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 76, 100.000
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 256, 255, 99.609
DDoS:LOIT, 3, 9448, 9421, 99.714
DoS / DDoS:DoS GoldenEye, 4, 746, 713, 95.576
DoS / DDoS:DoS Hulk, 5, 23389, 21594, 92.325
DoS / DDoS:DoS Slowhttptest, 6, 422, 396, 93.839
DoS / DDoS:DoS slowloris, 7, 389, 358, 92.031
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7638, 4602, 60.251
Normal, 10, 172931, 169403, 97.960
PortScan:PortScan - Firewall off, 11, 15996, 12927, 80.814
PortScan:PortScan - Firewall on, 12, 38, 29, 76.316
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 61, 89.706
Benign, 10, 172931, 169403, 97.960%
Attack, !10, 58493, 50459, 86.265%
Overall, ALL, 231424, 219862, 95.004%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
