Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 600
Batch size, 128
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Performance metrics,
Accuracy, 95.004 %
False alarm rate, 6.535 %
Missed alarm rate, 13.735 %
Detection rate, 86.265 %
Precision, 93.465 %
Specificity, 97.960 %
Recall, 93.465 %
F1-Measure, 93.465 %
