Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Performance metrics,
Accuracy, 93.882 %
False alarm rate, 7.586 %
Missed alarm rate, 17.427 %
Detection rate, 82.573 %
Precision, 92.414 %
Specificity, 97.707 %
Recall, 92.414 %
F1-Measure, 92.414 %
