Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 76, 100.000
Brute Force:FTP-Patator, 1, 26, 24, 92.308
Brute Force:SSH-Patator, 2, 255, 253, 99.216
DDoS:LOIT, 3, 9450, 9425, 99.735
DoS / DDoS:DoS GoldenEye, 4, 747, 726, 97.189
DoS / DDoS:DoS Hulk, 5, 23392, 17213, 73.585
DoS / DDoS:DoS Slowhttptest, 6, 421, 395, 93.824
DoS / DDoS:DoS slowloris, 7, 389, 377, 96.915
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7640, 4682, 61.283
Normal, 10, 172932, 168596, 97.493
PortScan:PortScan - Firewall off, 11, 15989, 12719, 79.548
PortScan:PortScan - Firewall on, 12, 38, 27, 71.053
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 58, 85.294
Benign, 10, 172932, 168596, 97.493%
Attack, !10, 58492, 45976, 78.602%
Overall, ALL, 231424, 214572, 92.718%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
