Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 200
Batch size, 1024
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 191
Time to best epoch, 1h 1m

Performance metrics,
Accuracy, 98.328 %
False alarm rate, 27.210 %
Missed alarm rate, 15.788 %
Detection rate, 84.212 %
Precision, 72.790 %
Specificity, 98.845 %
Recall, 84.212 %
F1-Measure, 78.086 %
