Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 1024
Proxy task, MASK
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 1
Time to best epoch, 0h 2m

Performance metrics,
Accuracy, 96.728 %
False alarm rate, 41.444 %
Missed alarm rate, 74.049 %
Detection rate, 25.951 %
Precision, 58.556 %
Specificity, 99.326 %
Recall, 25.951 %
F1-Measure, 35.964 %
