Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 1024
Proxy task, MASK
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 371
Time to best epoch, 0h 35m

Performance metrics,
Accuracy, 96.471 %
False alarm rate, 0.000 %
Missed alarm rate, 100.000 %
Detection rate, 0.000 %
Precision, 100.000 %
Specificity, 100.000 %
Recall, 100.000 %
F1-Measure, 100.000 %
