Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 1024
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 515
Time to best epoch, 0h 49m

Performance metrics,
Accuracy, 97.749 %
False alarm rate, 29.372 %
Missed alarm rate, 37.851 %
Detection rate, 62.149 %
Precision, 70.628 %
Specificity, 99.053 %
Recall, 62.149 %
F1-Measure, 66.118 %
