Class, #, Occurance, Right, AUTO
Botnet ARES, 0, 75, 70, 93.333%
FTP-Patator, 1, 25, 2, 8.000%
SSH-Patator, 2, 254, 250, 98.425%
DDoS LOIT, 3, 9362, 9359, 99.968%
DoS GoldenEye, 4, 739, 721, 97.564%
DoS Hulk, 5, 23183, 23171, 99.948%
DoS Slowhttptest, 6, 417, 395, 94.724%
DoS slowloris, 7, 385, 362, 94.026%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7582, 7034, 92.772%
Benign, 10, 171408, 170090, 99.231%
PortScan - Firewall off, 11, 15840, 15811, 99.817%
PortScan - Firewall on, 12, 36, 27, 75.000%
SQL Injection, 13, 2, 0, 0.000%
XSS, 14, 68, 0, 0.000%

Benign, 10, 171408, 170090, 99.231%
Attack, !10, 57968, 57202, 98.679%
Overall, ALL, 229376, 227292, 99.091%
