Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 74, 70, 94.595%
FTP-Patator, 1, 26, 1, 3.846%
SSH-Patator, 2, 255, 242, 94.902%
DDoS LOIT, 3, 9358, 9355, 99.968%
DoS GoldenEye, 4, 743, 733, 98.654%
DoS Hulk, 5, 23149, 23147, 99.991%
DoS Slowhttptest, 6, 417, 412, 98.801%
DoS slowloris, 7, 389, 378, 97.172%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7571, 7059, 93.237%
Benign, 10, 171411, 170880, 99.690%
PortScan - Firewall off, 11, 15877, 15715, 98.980%
PortScan - Firewall on, 12, 38, 31, 81.579%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 67, 0, 0.000%

Benign, 10, 171411, 170880, 99.690%
Attack, !10, 57965, 57144, 98.584%
Overall, ALL, 229376, 228024, 99.411%
