Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 1024
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 47
Time to best epoch, 1h 15m

Performance metrics,
Accuracy, 98.743 %
False alarm rate, 2.854 %
Missed alarm rate, 2.095 %
Detection rate, 97.905 %
Precision, 97.146 %
Specificity, 99.027 %
Recall, 97.146 %
F1-Measure, 97.146 %
