Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 600
Batch size, 1024
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 587
Time to best epoch, 0h 53m

Performance metrics,
Accuracy, 40.524 %
False alarm rate, 99.106 %
Missed alarm rate, 98.768 %
Detection rate, 1.232 %
Precision, 0.894 %
Specificity, 53.806 %
Recall, 1.232 %
F1-Measure, 1.036 %
