Class, #, Occurance, Right, AUTO
Botnet ARES, 0, 76, 76, 100.000%
FTP-Patator, 1, 26, 23, 88.462%
SSH-Patator, 2, 256, 253, 98.828%
DDoS LOIT, 3, 9375, 9357, 99.808%
DoS GoldenEye, 4, 738, 691, 93.631%
DoS Hulk, 5, 23186, 17841, 76.947%
DoS Slowhttptest, 6, 416, 397, 95.433%
DoS slowloris, 7, 386, 349, 90.415%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7550, 4815, 63.775%
Benign, 10, 171407, 163832, 95.581%
PortScan - Firewall off, 11, 15853, 14226, 89.737%
PortScan - Firewall on, 12, 38, 29, 76.316%
SQL Injection, 13, 1, 0, 0.000%
XSS, 14, 68, 50, 73.529%

Benign, 10, 171407, 163832, 95.581%
Attack, !10, 57969, 48107, 82.987%
Overall, ALL, 229376, 211939, 92.398%
