Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 512
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 251
Time to best epoch, 0h 23m

Performance metrics,
Accuracy, 92.814 %
False alarm rate, 10.565 %
Missed alarm rate, 18.849 %
Detection rate, 81.151 %
Precision, 89.435 %
Specificity, 96.758 %
Recall, 81.151 %
F1-Measure, 85.092 %
