,,3.5.1,3.5.2,3.5.3,3.5.4
Class, Alias, Accuracy, Accuracy, Accuracy, Accuracy
Analysis, 0, 69.811%, 96.296%, 59.259%, 29.630%
Backdoors, 1, 76.923%, 85.000%, 76.923%, 61.538%
DoS, 2, 85.751%, 97.710%, 81.218%, 73.858%
Exploits, 3, 90.283%, 97.619%, 89.099%, 87.483%
Fuzzers, 4, 67.714%, 98.936%, 77.183%, 68.837%
Generic, 5, 90.187%, 96.503%, 88.028%, 90.376%
Normal, 6, 98.845%, 98.162%, 98.722%, 98.927%
Reconnaissance, 7, 94.458%, 99.916%, 93.182%, 92.593%
Shellcode, 8, 96.711%, 98.701%, 87.662%, 98.052%
Worms, 9, 100.000%, 100.000%, 88.889%, 100.000%

Benign, 6, 98.845%, 98.162%, 98.722%, 98.927%
Attack, !6, 84.212%, 98.260%, 85.553%, 82.106%
Overall, ALL, 98.328%, 98.165%, 98.256%, 98.331%
